 date     Mom   
200204   7.92
200205   3.05
200206   6.19
200207   3.40
200208   1.73
200209   9.14
200210  -5.49
200211 -16.31
200212   9.65
200301   1.56
200302   1.22
200303   1.51
200304  -9.44
200305 -10.77
200306  -0.97
200307  -0.29
200308  -0.54
200309  -0.07
200310   3.88
200311   1.59
200312  -5.69
200401   2.58
200402  -1.13
200403   0.19
200404  -5.38
200405   1.65
200406   2.08
200407  -2.31
200408  -1.52
200409   5.26
200410  -1.50
200411   3.22
200412  -2.83
200501   3.12
200502   3.24
200503   0.92
200504  -0.83
200505   0.43
200506   2.06
200507   0.04
200508   2.21
200509   3.47
200510  -1.29
200511   0.37
200512   0.76
200601   2.75
200602  -1.80
200603   1.23
200604   0.66
200605  -3.72
200606   1.48
200607  -2.18
200608  -3.46
200609  -0.94
200610  -0.23
200611  -1.01
200612   0.83
200701   0.26
200702  -1.32
200703   2.49
200704  -0.17
200705  -0.32
200706   0.25
200707   2.79
200708   0.11
200709   4.61
200710   4.89
200711   0.89
200712   6.51
200801  -7.84
200802   6.14
200803   4.14
200804  -0.21
200805   3.20
200806  12.52
200807  -5.15
200808  -3.81
200809   0.39
200810   7.81
200811   7.18
200812  -5.03
200901  -1.92
200902   4.25
200903 -11.51
200904 -34.75
200905 -12.49
200906   5.37
200907  -5.51
200908  -8.87
200909  -4.97
200910   2.65
200911   0.41
200912   2.94
201001  -5.34
201002   3.61
201003   3.72
201004   3.20
201005  -0.26
201006  -2.88
201007   1.68
201008  -0.12
201009   1.33
201010   1.55
201011   2.43
201012  -3.08
201101  -0.23
201102   1.99
201103   3.55
201104   0.06
201105  -0.57
201106   1.71
201107   0.10
