date             aapl          sp
20010727       0.019903      0.002402
20010730      -0.001582     -0.001078
20010731      -0.007396      0.005571
20010801       0.014369      0.003880
20010802       0.039874      0.003964
20010803      -0.016145     -0.005243
20010806      -0.018974     -0.011422
20010807       0.006273      0.003265
20010808      -0.018182     -0.017328
20010809       0.007936     -0.000084
20010810      -0.001575      0.005687
20010813       0.003680      0.000949
20010814      -0.018858     -0.003828
20010815      -0.015483     -0.007339
20010816       0.011388      0.003090
20010817      -0.031099     -0.016663
20010820       0.002767      0.008124
20010821      -0.011038     -0.012079
20010822       0.016183      0.006956
20010823      -0.021966     -0.002763
20010824       0.042673      0.019654
20010827       0.018848     -0.004827
20010828      -0.027484     -0.015010
20010829      -0.030978     -0.011115
20010830       0.000000     -0.017038
20010831       0.040381      0.004030
20010904      -0.016172     -0.000565
20010905       0.016438     -0.001059
20010906      -0.044744     -0.022390
20010907      -0.024831     -0.018637
20010910       0.005208      0.006226
20010917      -0.021877     -0.049216
20010918      -0.041789     -0.005805
20010919       0.045455     -0.016112
20010920      -0.078731     -0.031060
20010921       0.003189     -0.019034
20010924       0.045772      0.038983
20010925      -0.055319      0.008790
20010926      -0.025097     -0.005167
20010927       0.023762      0.011489
20010928       0.000000      0.021922
20011001       0.001934     -0.002296
20011002      -0.031532      0.012306
20011003      -0.004651      0.019927
20011004       0.060080     -0.002471
20011005       0.016373      0.001636
20011008       0.003718     -0.008344
20011009      -0.012346     -0.005356
20011010       0.051250      0.022938
20011011       0.054697      0.015208
20011012       0.015220     -0.005267
20011015      -0.001111     -0.001530
20011016       0.001112      0.006936
20011017      -0.056635     -0.018633
20011018       0.059447     -0.007873
20011019       0.016667      0.004557
20011022       0.039344      0.015296
20011023      -0.046267     -0.004698
20011024       0.044653      0.000387
20011025       0.012665      0.013721
20011026      -0.027097      0.004109
20011029      -0.055704     -0.023818
20011030      -0.001702     -0.017166
20011031      -0.002273     -0.000009
20011101       0.058656      0.022948
20011102      -0.001076      0.002860
20011105       0.026925      0.014386
20011106       0.026219      0.014526
20011107       0.001022     -0.002735
20011108      -0.044921      0.002456
20011109       0.000000      0.001582
20011112       0.002138     -0.001767
20011113       0.033067      0.018563
20011114       0.012390      0.001861
20011115      -0.008159      0.000903
20011116      -0.024679     -0.003143
20011119       0.054296      0.010899
20011120      -0.023500     -0.007298
20011121       0.007680     -0.004927
20011123       0.008130      0.011706
20011126       0.077117      0.006155
20011127      -0.017314     -0.006843
20011128      -0.022381     -0.018251
20011129      -0.005358      0.010350
20011130       0.043095     -0.000658
20011203      -0.011737     -0.008381
20011204       0.064133      0.013187
20011205       0.060714      0.022318
20011206      -0.041246     -0.002777
20011207      -0.010536     -0.007531
20011210       0.000000     -0.015868
20011211      -0.033718     -0.002781
20011212      -0.013315      0.000273
20011213      -0.022801     -0.015558
20011214      -0.029048      0.003314
20011217       0.011280      0.010035
20011218       0.018914      0.007546
20011219       0.029034      0.005810
20011220      -0.043941     -0.008377
20011221       0.015965      0.004351
20011224       0.017143     -0.000210
20011226       0.006086      0.004124
20011227       0.026989      0.006752
20011228       0.016312      0.003362
20011231      -0.023629     -0.011145
20020102       0.063927      0.005740
20020103       0.012017      0.009180
20020104       0.004665      0.006213
20020107      -0.033347     -0.006499
20020108      -0.012664     -0.003588
20020109      -0.042459     -0.004799
20020110      -0.019400      0.001221
20020111      -0.008479     -0.009468
20020114       0.004751     -0.006276
20020115       0.026005      0.006834
20020116      -0.042396     -0.016245
20020117       0.081809      0.010030
20020118      -0.013790     -0.009922
20020122      -0.015787     -0.007334
20020123       0.054995      0.007925
20020124       0.008254      0.003519
20020125       0.001723      0.000998
20020128       0.000860     -0.000194
20020129      -0.008595     -0.028613
20020130       0.044213      0.011748
20020131       0.026152      0.014934
20020201      -0.012540     -0.007078
20020204       0.038509     -0.024737
20020205       0.003945     -0.004039
20020206      -0.030648     -0.005972
20020207      -0.014998     -0.003083
20020208      -0.011111      0.014859
20020211       0.039534      0.014340
20020212      -0.010809     -0.003993
20020213       0.012141      0.009941
20020214      -0.016393     -0.001815
20020215      -0.028455     -0.011017
20020219      -0.053556     -0.018874
20020220       0.022546      0.013514
20020221      -0.070471     -0.015510
20020222       0.057674      0.008224
20020225       0.047054      0.017975
20020226      -0.005880     -0.000045
20020227      -0.072243      0.000460
20020228      -0.011840     -0.002847
20020301       0.080645      0.022634
20020304       0.035821      0.019491
20020305      -0.031289     -0.006673
20020306       0.022949      0.014510
20020307       0.012879     -0.004498
20020308       0.011485      0.005849
20020311       0.016221      0.003393
20020312      -0.013567     -0.002294
20020313      -0.009304     -0.009858
20020314      -0.002450     -0.000910
20020315       0.021285      0.011379
20020318      -0.008417     -0.000523
20020319       0.004446      0.004067
20020320       0.002817     -0.015757
20020321      -0.026083      0.001511
20020322      -0.007417     -0.004239
20020325      -0.030718     -0.014651
20020326       0.004711      0.005849
20020327       0.000426      0.005349
20020328       0.008522      0.002455
20020401       0.033376     -0.000741
20020402      -0.015944     -0.008530
20020403      -0.013295     -0.009993
20020404       0.048421      0.000835
20020405      -0.006426     -0.003205
20020408      -0.007276      0.002280
20020409      -0.018730     -0.006656
20020410       0.023236      0.011335
20020411       0.008110     -0.023689
20020412       0.008045      0.006632
20020415      -0.002394     -0.007615
20020416       0.029600      0.023418
20020417       0.014375     -0.002038
20020418      -0.026810     -0.001421
20020419      -0.016922      0.000623
20020422      -0.018014     -0.015411
20020423      -0.011415     -0.006201
20020424      -0.019794     -0.007103
20020425       0.014724     -0.001519
20020426      -0.046020     -0.013889
20020429       0.041286     -0.010099
20020430       0.012938      0.010765
20020501      -0.011949      0.008859
20020502      -0.012093     -0.001749
20020503      -0.007598     -0.010262
20020506      -0.036580     -0.019340
20020507      -0.007947     -0.003021
20020508       0.084557      0.037504
20020509      -0.007386     -0.014547
20020510      -0.035965     -0.016794
20020513       0.026587      0.018550
20020514       0.069758      0.021144
20020515      -0.012886     -0.005659
20020516      -0.002769      0.006562
20020517      -0.007933      0.007612
20020520      -0.010796     -0.013293
20020521      -0.051738     -0.010990
20020522       0.036658      0.005686
20020523       0.035362      0.010184
20020524      -0.040906     -0.012087
20020528      -0.007039     -0.008553
20020529       0.000000     -0.006412
20020530       0.009174     -0.002810
20020531      -0.037190      0.002329
20020603      -0.016738     -0.024795
20020604      -0.005674      0.000010
20020605      -0.002634      0.008850
